"year_month","genus","antimicrobial","I","N","R","S","Res.X","Res.N","Res.PointEst","Res.Lower","Res.Upper","Test.X","Test.N","Test.PointEst","Test.Lower","Test.Upper"
2020-01-01,"Escherichia","NITRO",0,39,36,1125,36,1161,0.0310077519379845,0.0224806890947695,0.0426281360130501,1161,1200,0.9675,0.955880894104369,0.976135520332074
2020-01-01,"Escherichia","PIVMEC",0,36,166,1002,166,1168,0.142123287671233,0.123269950827075,0.16332296350681,1168,1204,0.970099667774086,0.95888405417879,0.978325040386698
2020-01-01,"Escherichia","TMP",0,43,327,836,327,1163,0.281169389509888,0.256084528462515,0.307695112591346,1163,1206,0.964344941956882,0.952318394833731,0.973422735819646
2020-02-01,"Escherichia","NITRO",0,43,21,982,21,1003,0.0209371884346959,0.0137344164120831,0.0317955510113759,1003,1046,0.958891013384321,0.945085184339515,0.969338600255909
2020-02-01,"Escherichia","PIVMEC",0,47,166,829,166,995,0.166834170854271,0.144958945058345,0.191272051217293,995,1042,0.95489443378119,0.940535182348571,0.965911958376734
2020-02-01,"Escherichia","TMP",0,35,286,727,286,1013,0.282329713721619,0.255472807018036,0.310831265092222,1013,1048,0.966603053435115,0.95390803570561,0.975889883741791
2020-03-01,"Escherichia","NITRO",0,27,17,723,17,740,0.022972972972973,0.0143918719861883,0.0364811445309187,740,767,0.964797913950456,0.949267298618439,0.975695924157376
2020-03-01,"Escherichia","PIVMEC",0,29,110,627,110,737,0.149253731343284,0.125348576868317,0.176796310078231,737,766,0.962140992167102,0.946157227822879,0.973512649510789
2020-03-01,"Escherichia","TMP",0,24,221,522,221,743,0.297442799461642,0.265683027673103,0.331286320446247,743,767,0.96870925684485,0.95386295492597,0.978883969584284
2020-04-01,"Escherichia","NITRO",0,9,9,439,9,448,0.0200892857142857,0.0106043239989196,0.0377344426067397,448,457,0.980306345733042,0.963000070889676,0.989605194104088
2020-04-01,"Escherichia","PIVMEC",0,4,86,367,86,453,0.189845474613687,0.156396579176776,0.228510384553305,453,457,0.991247264770241,0.977713583833224,0.996591117720763
2020-04-01,"Escherichia","TMP",0,3,147,307,147,454,0.323788546255507,0.282380509866095,0.368153540911815,454,457,0.993435448577681,0.980879588940418,0.997764999925613
2020-05-01,"Escherichia","NITRO",0,11,13,469,13,482,0.0269709543568465,0.0158285194256935,0.0455936961528817,482,493,0.977687626774848,0.960492199160767,0.987496322404983
2020-05-01,"Escherichia","PIVMEC",0,8,75,411,75,486,0.154320987654321,0.124925662962253,0.189138114307787,486,494,0.983805668016194,0.968373281955388,0.991771743194395
2020-05-01,"Escherichia","TMP",1,10,139,347,139,487,0.285420944558522,0.247112374877944,0.327088222394039,487,497,0.979879275653924,0.96336238291957,0.989034811041105
2020-06-01,"Escherichia","NITRO",0,14,22,703,22,725,0.0303448275862069,0.0201233264052568,0.0455170927033162,725,739,0.98105548037889,0.968453426250296,0.988682166489447
2020-06-01,"Escherichia","PIVMEC",0,20,126,598,126,724,0.174033149171271,0.14815588690278,0.203351238337418,724,744,0.973118279569892,0.958844079541717,0.982531918935515
2020-06-01,"Escherichia","TMP",0,9,202,530,202,732,0.275956284153005,0.244808005787355,0.309443802033213,732,741,0.987854251012146,0.977079218612074,0.993597146724416
2020-07-01,"Escherichia","NITRO",0,11,14,757,14,771,0.0181582360570687,0.0108467897449379,0.0302473701741205,771,782,0.985933503836317,0.974988550861526,0.992127642194165
2020-07-01,"Escherichia","PIVMEC",0,23,103,658,103,761,0.135348226018397,0.112866350910808,0.161493068810303,761,784,0.970663265306122,0.956363593630239,0.980373095886836
2020-07-01,"Escherichia","TMP",0,14,205,563,205,768,0.266927083333333,0.236858398049693,0.299315778772847,768,782,0.982097186700767,0.970174861706172,0.989306203509606
2020-08-01,"Escherichia","NITRO",0,9,13,657,13,670,0.0194029850746269,0.0113736893591983,0.0329118891401127,670,679,0.986745213549337,0.975002644101763,0.993011221285943
2020-08-01,"Escherichia","PIVMEC",0,19,108,556,108,664,0.162650602409639,0.136534534201185,0.192647573194335,664,683,0.972181551976574,0.956961609636686,0.982119733978571
2020-08-01,"Escherichia","TMP",0,6,161,512,161,673,0.239227340267459,0.208533934750059,0.272880811013934,673,679,0.991163475699558,0.980856649598292,0.995944028485822
2020-09-01,"Escherichia","NITRO",0,15,20,835,20,855,0.0233918128654971,0.0151928300754053,0.0358543781961823,855,870,0.982758620689655,0.971748685092009,0.989524085295465
2020-09-01,"Escherichia","PIVMEC",0,25,149,700,149,849,0.175500588928151,0.151390568261088,0.202533898823427,849,874,0.971395881006865,0.958114871363296,0.980551207483077
2020-09-01,"Escherichia","TMP",0,20,226,625,226,851,0.265569917743831,0.236999320201175,0.296247463886198,851,871,0.977037887485649,0.964799237151895,0.985087158401657
2020-10-01,"Escherichia","NITRO",0,5,23,751,23,774,0.0297157622739018,0.0198815056267444,0.0441951236856865,774,779,0.993581514762516,0.985063567933684,0.997255382264042
2020-10-01,"Escherichia","PIVMEC",0,22,226,536,226,762,0.296587926509186,0.265243196042383,0.329973285868425,762,784,0.971938775510204,0.957878370723247,0.981396900608237
2020-10-01,"Escherichia","TMP",0,6,215,560,215,775,0.27741935483871,0.247054218934805,0.30998014782529,775,781,0.992317541613316,0.983341279374635,0.996474441822742
2020-11-01,"Escherichia","NITRO",0,17,23,725,23,748,0.0307486631016043,0.020575462933984,0.0457170489193438,748,765,0.977777777777778,0.964701212741975,0.98607998097937
2020-11-01,"Escherichia","PIVMEC",0,109,203,465,203,668,0.303892215568862,0.270216799999325,0.339810243494094,668,777,0.85971685971686,0.833524673527723,0.882369691052071
2020-11-01,"Escherichia","TMP",0,11,224,530,224,754,0.297082228116711,0.265559650231091,0.330661965202594,754,765,0.98562091503268,0.974436793602035,0.991952299332246
2020-12-01,"Escherichia","NITRO",0,17,19,719,19,738,0.0257452574525745,0.0165428277268021,0.0398593298005077,738,755,0.977483443708609,0.964237587070235,0.985895002048574
2020-12-01,"Escherichia","PIVMEC",0,13,108,635,108,743,0.14535666218035,0.121837011479373,0.172524604663144,743,756,0.982804232804233,0.970803137963636,0.989923591968935
2020-12-01,"Escherichia","TMP",0,12,214,530,214,744,0.287634408602151,0.256264371538951,0.32118617459911,744,756,0.984126984126984,0.972461812001068,0.990897045958716
